player,position,age,caps,goals,,,,
Becky Sauerbrunn,DF,34,155,0,,,,
Kelley O'Hara,DF,30,115,2,,,,
Abby Dahlkemper,DF,26,37,0,,,,
Ali Krieger,DF,34,99,1,,,,
Tierna Davidson,DF,20,19,1,,,,
Emily Sonnett,DF,25,31,0,,,,
Crystal Dunn,DF,26,83,24,,,,
Mallory Pugh,FW,21,50,15,,,,
Carli Lloyd,FW,36,271,107,,,,
Alex Morgan,FW,29,160,101,,,,
Megan Rapinoe,FW,33,150,44,,,,
Tobin Heath,FW,31,147,28,,,,
Jessica McDonald,FW,31,7,2,,,,
Christen Press,FW,30,113,47,,,,
Alyssa Naeher,GK,31,43,0,,,,
Ashlyn Harris,GK,33,21,0,,,,
Adrianna Franch,GK,28,1,0,,,,
Sam Mewis,MF,26,47,9,,,,
Morgan Brian,MF,26,82,6,,,,
Julie Ertz,MF,27,79,18,,,,
Lindsey Horan,MF,25,66,8,,,,
Rose Lavelle,MF,24,24,6,,,,
Allie Long,MF,31,42,6,,,,
,,,,,,,,
,,,,,,,,
Positions,Average Age,Average Goals,Average Caps,,,,,
DF,27.9,4.0,77.0,,,,,
FW,30.1,49.1,128.3,,,,,
GK,30.7,0.0,21.7,,,,,
MF,26.5,8.8,56.7,,,,,
