Country,2016,2017
Germany,1470,1480
France,1419,1442
United Kingdom,1274,1285
Russian Federation,608,645
Italy,554,566
Spain,501,509
Poland,382,402
Netherlands,249,246
Sweden,220,214
Austria,195,193
Switzerland,165,166
Portugal,152,161
Czech Republic,95,96
Ireland,91,91
Denmark,88,88
Hungary,89,88
Ukraine,80,83
Belgium,76,80
Romania,68,72
Norway,73,72
Finland,65,65
Morocco,37,42
Bulgaria,42,41
Slovakia,40,30
Croatia,28,29
Serbia,26,26
Greece,23,24
Slovenia,18,20
Lithuania,11,13
Belarus,10,13
Georgia,11,13
Latvia,12,12
Azerbaijan,11,12
Luxembourg,10,10
Estonia,10,10
Malta,9,9
Moldova,4,4
Bosnia,3,3
Iceland,0,0
Monaco,1419,1442
